h,abs_flow,abs_basis,rolling_arb_r,phase
38,552581.757393,0.000132,0.4795,panic
39,352585.638411,4.9e-05,0.5765,panic
40,13241037.847105,0.000176,0.6669,panic
41,524322.186301,0.00025,0.2849,panic
42,3161598.202244,0.00025,0.21,panic
43,2375079.081053,0.00025,0.0996,panic
44,38960.374394,0.000321,-0.1611,panic
45,374953.417825,0.00035,-0.8129,panic
46,87962.794762,0.000259,-0.5308,panic
47,628233.529151,0.00025,-0.5448,panic
48,1151337.109011,0.00025,-0.5073,panic
49,33838.970958,0.00025,-0.2916,panic
50,329187.971425,0.000271,-0.1399,panic
51,329717.930215,0.00035,-0.183,panic
52,197553.413218,0.00035,-0.3924,panic
53,334746.077942,0.00035,-0.34,panic
54,183048.355623,0.000331,0.5033,panic
55,139997.241309,0.00025,0.3267,panic
56,5476882.611356,0.00025,-0.6048,panic
57,583725.037149,0.00025,-0.4651,panic
58,5322.211464,0.00025,-0.306,panic
59,286039.225951,0.000291,-0.2995,panic
60,15084434.459052,0.000412,0.8859,panic
61,284954.419532,0.000149,0.8063,panic
62,29570.508548,0.000103,0.7712,panic
63,200778.906584,5.7e-05,0.7483,panic
64,1056594.361564,0.000157,0.8102,panic
65,1160442.550952,0.00025,0.8923,panic
66,271424.323542,0.00025,0.5213,panic
67,30081.376459,0.00025,0.2618,panic
68,509435.0,0.000378,0.0537,panic
69,1212875.854446,0.00045,0.1635,panic
70,3605207.058835,0.00045,0.663,panic
71,587868.144234,0.000406,0.6749,panic
72,1466508.851552,0.00035,0.6251,recovery
73,2504120.428133,0.000253,-0.0494,recovery
74,684138.366576,0.000264,0.1762,recovery
75,456572.25687,0.00035,0.2744,recovery
76,69224.094794,0.00035,-0.565,recovery
77,1709157.601696,0.00035,-0.4258,recovery
78,1022969.811969,0.000342,-0.5035,recovery
79,1129845.371854,0.000267,-0.0915,recovery
80,509002.524073,0.000546,-0.3211,recovery
81,411700.478083,0.000452,-0.4371,recovery
82,341583.226324,0.00045,-0.7081,recovery
83,16819616.940926,0.000655,0.6864,recovery
84,8928131.196629,0.005545,0.344,recovery
85,63594709.197612,0.005549,0.6716,recovery
86,9946686.743365,0.002352,0.6367,recovery
87,6996272.507313,0.001518,0.6049,recovery
88,3433377.770337,0.002211,0.5471,recovery
89,27237383.360776,0.002419,0.5719,recovery
90,8643502.724802,0.00254,0.9337,recovery
91,5355450.625895,0.002766,0.1349,recovery
92,37529203.249454,0.023099,0.7928,recovery
93,897404.723589,0.00535,0.7297,recovery
94,943578.774254,0.004537,0.6977,recovery
95,4885680.104299,0.005105,0.9422,recovery
96,1231115.780919,0.004447,0.9745,recovery
97,218786.029854,0.004299,0.9951,recovery
98,4537573.366575,0.00452,0.2513,recovery
99,7550091.507589,0.005667,0.8928,recovery
100,14466566.896309,0.006865,0.9733,recovery
101,42527005.530234,0.013748,0.9962,recovery
102,19443946.992404,0.03015,0.4816,recovery
103,59898969.385487,0.049473,0.7973,recovery
104,3567918.326897,0.018792,0.6968,recovery
105,1964551.224466,0.020938,0.5999,recovery
106,12681834.913203,0.017113,0.6238,recovery
107,39467340.323981,0.012083,0.6273,recovery
108,17024809.829956,0.007717,0.636,recovery
109,18559044.01851,0.006472,-0.5851,recovery
110,4996516.914681,0.006391,-0.2401,recovery
111,41864726.650589,0.004785,-0.1336,recovery
112,14651364.068776,0.003558,0.3668,recovery
113,12628028.923802,0.00358,-0.1248,recovery
114,9261262.396476,0.003461,0.0189,recovery
115,7387893.511337,0.002909,0.1116,recovery
116,1203933.735435,0.002784,0.971,recovery
117,13110945.65508,0.002858,0.6208,recovery
118,4930971.621297,0.003068,0.4963,recovery
119,759443.225006,0.002946,0.2757,recovery
120,4665434.947392,0.002906,-0.0553,recovery
121,418500.151923,0.003008,-0.192,recovery
122,12683.04992,0.003333,-0.5851,recovery
123,276935.924394,0.003095,-0.44,recovery
124,5163663.706332,0.002855,-0.7166,recovery
125,6665192.61854,0.002653,-0.889,recovery
126,6758910.232293,0.002464,-0.9144,recovery
127,28758570.542049,0.002342,-0.7737,recovery
128,961720.574108,0.002076,-0.3175,recovery
129,9141658.138613,0.001795,-0.0521,recovery
130,15367155.621164,0.001402,-0.085,recovery
131,1344327.552059,0.001226,0.3109,recovery
132,963683.714999,0.001223,0.5866,recovery
133,357408.293409,0.001094,0.1531,recovery
134,289461.658582,0.001114,0.6736,recovery
135,4880578.259363,0.001162,0.863,recovery
136,16761719.795463,0.001214,0.3911,recovery
137,1392623.313495,0.001406,0.0686,recovery
138,892097.859687,0.001513,-0.1241,recovery
139,1398617.074208,0.001753,-0.3525,recovery
140,962525.429437,0.001681,-0.6443,recovery
141,818715.915985,0.00181,-0.757,recovery
142,1722574.505596,0.001793,0.0734,recovery
143,2720781.238624,0.001811,0.5065,recovery
144,3415464.482237,0.001848,0.6693,recovery
145,1676904.463142,0.001907,0.4285,recovery
146,1056181.485676,0.001883,-0.0968,recovery
147,80923.166776,0.001984,-0.7104,recovery
148,897662.350712,0.001948,-0.8762,recovery
149,1442669.919996,0.002034,-0.6066,recovery
150,4730577.214421,0.0021,0.6623,recovery
151,1756854.032341,0.001986,0.7322,recovery
152,8620630.105553,0.002027,0.5333,recovery
153,12570203.702233,0.002045,0.4517,recovery
154,9197191.776069,0.002119,0.3708,recovery
155,5570640.557645,0.00215,0.1341,recovery
156,3011963.319238,0.002208,-0.1726,recovery
157,3318919.61515,0.001895,-0.0579,recovery
158,6706025.824075,0.0018,-0.0085,recovery
159,143088.749409,0.001871,0.2379,recovery
160,5723453.788959,0.001919,-0.0339,recovery
161,5427407.590955,0.001436,-0.3607,recovery
162,796949.548098,0.001312,0.2042,recovery
163,379120.701135,0.001352,0.4021,recovery
164,1098168.880035,0.001406,0.3201,recovery
165,2017285.08494,0.001431,0.7431,recovery
166,770538.331925,0.001458,0.4328,recovery
167,13401379.559609,0.001428,0.3155,recovery
168,747357.301928,0.001418,0.2204,post
169,18642286.751531,0.001455,0.4051,post
170,6047098.020216,0.001569,0.0227,post
171,7012971.564684,0.001549,-0.0814,post
172,962429.557633,0.001549,-0.336,post
173,522443.126605,0.001549,-0.2639,post
174,1401729.898003,0.001463,-0.4862,post
175,5423970.159182,0.001404,-0.0368,post
176,188172.845215,0.001357,0.123,post
